iter	RMSE
0	1.561742869
1	1.47989361
2	1.41406988
3	1.362229209
4	1.319667904
5	1.287519144
6	1.260687869
7	1.23964424
8	1.220700316
9	1.206531656
10	1.193225993
11	1.182951538
12	1.174943817
13	1.167569061
14	1.161489915
15	1.156947779
16	1.149529753
17	1.142972913
18	1.138732609
19	1.135337403
20	1.130964853
21	1.126576758
22	1.122439978
23	1.117771669
24	1.115076644
25	1.111738325
26	1.109780471
27	1.107758259
28	1.106012332
29	1.103829727
30	1.101811417
31	1.098871394
32	1.095916374
33	1.093674935
34	1.092304659
35	1.089620633
36	1.088162996
37	1.086439828
38	1.082852656
39	1.081265118
40	1.078709839
41	1.076718266
42	1.075529044
43	1.074442063
44	1.073458556
45	1.069360509
46	1.068366205
47	1.066488051
48	1.065215766
49	1.063813033
50	1.061038702
51	1.059377257
52	1.05839155
53	1.057267193
54	1.056093355
55	1.055097738
56	1.054110498
57	1.052597604
58	1.050495598
59	1.049113053
60	1.047898295
61	1.046834777
62	1.046000123
63	1.045318553
64	1.044267716
65	1.043299773
66	1.042321476
67	1.041588887
68	1.040899933
69	1.040016516
70	1.039124363
71	1.038092046
72	1.037384636
73	1.036778648
74	1.034662603
75	1.033827921
76	1.032986653
77	1.032308662
78	1.031647043
79	1.030906436
80	1.029866478
81	1.029218733
82	1.028597566
83	1.027266919
84	1.026359429
85	1.025677603
86	1.025199101
87	1.024183512
88	1.023009313
89	1.022227477
90	1.021772503
91	1.021307932
92	1.020798171
93	1.020374932
94	1.019475576
95	1.018375861
96	1.017895499
97	1.017442462
98	1.016651846
99	1.015842751
100	1.015352153
101	1.014753595
102	1.01339473
103	1.012754093
104	1.012243932
105	1.011670793
106	1.01096874
107	1.010275202
108	1.009910921
109	1.009332753
110	1.008600223
111	1.007546284
112	1.007088341
113	1.006629949
114	1.005773162
115	1.005058101
116	1.004243199
117	1.003748168
118	1.003316222
119	1.002623756
120	1.002019827
121	1.001228752
122	1.000353452
123	0.9998462772
124	0.999216018
125	0.9984943499
126	0.9980631707
127	0.9975564114
128	0.9971599326
129	0.9965805083
130	0.9961395047
131	0.9954506374
132	0.9934840763
133	0.99291858
134	0.992572029
135	0.9920489303
136	0.9912878282
137	0.991007476
138	0.9905135929
139	0.9902043279
140	0.989451672
141	0.9890478134
142	0.9886635724
143	0.9880860598
144	0.9874818733
145	0.9871892354
146	0.9866574069
147	0.9863571172
148	0.9858791312
149	0.9854815002
150	0.9851860323
151	0.9848542973
152	0.98441638
153	0.9840432111
154	0.9836870689
155	0.9832410468
156	0.9822884616
157	0.9818508762
158	0.9806486658
159	0.9800992141
160	0.9795715761
161	0.9792751158
162	0.978844783
163	0.9783126437
164	0.9779825321
165	0.9772179283
166	0.9754174333
167	0.9747471032
168	0.9744738188
169	0.9731723881
170	0.9728843389
171	0.9724135556
172	0.9719904996
173	0.9717697093
174	0.9699373417
175	0.9696051196
176	0.9692154644
177	0.9689173796
178	0.9684684794
179	0.9680314745
180	0.9676076833
181	0.9672936786
182	0.9668400153
183	0.9665739933
184	0.9662330638
185	0.965906396
186	0.9655270197
187	0.9651516734
188	0.9643511654
189	0.9639307803
190	0.9635034568
191	0.963262103
192	0.963008142
193	0.9621546518
194	0.9618527222
195	0.9614516115
196	0.960411225
197	0.9601514233
198	0.9597787011
199	0.9594592124
200	0.9592495069
201	0.9588877963
202	0.9586205228
203	0.9570509267
204	0.9563154325
205	0.956048013
206	0.955567456
207	0.9552313252
208	0.9548587244
209	0.9545137551
210	0.9543034236
211	0.9538345688
212	0.9533400718
213	0.9530591972
214	0.9528302384
215	0.9525772744
216	0.9522049958
217	0.9515068297
218	0.9512458381
219	0.9502242936
220	0.9500386169
221	0.94982489
222	0.9496836339
223	0.9494541742
224	0.9492797058
225	0.9488729202
226	0.9484919308
227	0.9481072745
228	0.9478093453
229	0.9475848851
230	0.9469649058
231	0.9465657162
232	0.9461864412
233	0.9458674711
234	0.9455638421
235	0.9452960388
236	0.9449605487
237	0.9446191923
238	0.9443917123
239	0.9441908246
240	0.9439154959
241	0.9435903967
242	0.9430552247
243	0.9423468351
244	0.9419419178
245	0.9416186536
246	0.9413556512
247	0.9408468213
248	0.9406534916
249	0.9403546823
250	0.9401507971
251	0.9397843359
252	0.9394609991
253	0.9392298007
254	0.9383393529
255	0.938077609
256	0.9378767219
257	0.9374680983
258	0.9372650426
259	0.9370484161
260	0.9364882715
261	0.936075995
262	0.9359392976
