iter	Passed	Remaining
0	1226	1225565
1	2298	1146877
2	3365	1118433
3	4423	1101539
4	5630	1120378
5	6770	1121643
6	7930	1125028
7	9042	1121251
8	10133	1115851
9	11266	1115420
10	12377	1112883
11	13476	1109546
12	14525	1102820
13	15593	1098219
14	16631	1092164
15	17716	1089573
16	18789	1086488
17	19835	1082121
18	20948	1081579
19	22034	1079714
20	23125	1078106
21	24225	1076920
22	25276	1073711
23	26336	1071000
24	27333	1065990
25	28426	1064918
26	29438	1060882
27	30431	1056407
28	31473	1053816
29	32524	1051613
30	33764	1055413
31	34863	1054620
32	36066	1056852
33	37248	1058301
34	38314	1056384
35	39357	1053898
36	40386	1051143
37	41388	1047781
38	42433	1045612
39	43447	1042748
40	44457	1039875
41	45637	1040968
42	46780	1041146
43	47862	1039914
44	48895	1037661
45	49920	1035304
46	50942	1032935
47	51973	1030806
48	52985	1028353
49	54049	1026937
50	55048	1024325
51	56099	1022728
52	57115	1020535
53	58308	1021487
54	59478	1021945
55	60484	1019592
56	61516	1017712
57	62607	1016830
58	63629	1014833
59	64663	1013069
60	65658	1010704
61	66667	1008618
62	67681	1006632
63	68733	1005233
64	69737	1003147
65	70765	1001434
66	71791	999716
67	72948	999825
68	74036	998957
69	75038	996936
70	76088	995577
71	77067	993314
72	78148	992380
73	79178	990804
74	80227	989470
75	81252	987861
76	82314	986705
77	83366	985434
78	84425	984247
79	85470	982909
80	86484	981220
81	87487	979429
82	88534	978144
83	89557	976601
84	90600	975291
85	91615	973676
86	92625	972038
87	93637	970429
88	94659	968926
89	95671	967347
90	96678	965723
91	97740	964655
92	98778	963354
93	99810	962002
94	100823	960476
95	101825	958852
96	102835	957323
97	103856	955899
98	104857	954309
99	105852	952672
100	106865	951205
101	107895	949902
102	108921	948565
103	109999	947689
104	111067	946720
105	112166	946009
106	113237	945057
107	114280	943875
108	115295	942459
109	116291	940907
110	117299	939448
111	118279	937790
112	119295	936418
113	120294	934920
114	121295	933445
115	122333	932263
116	123343	930872
117	124333	929343
118	125345	927980
119	126359	926639
120	127358	925191
121	128372	923858
122	129388	922553
123	130420	921357
124	131458	920208
125	132477	918929
126	133477	917528
127	134481	916158
128	135491	914832
129	136497	913484
130	137498	912105
131	138499	910736
132	139505	909407
133	140524	908166
134	141559	907027
135	142565	905708
136	143616	904681
137	144616	903330
138	145645	902166
139	146658	900902
140	147678	899685
141	148687	898405
142	149679	897029
143	150719	895944
144	151755	894832
145	152755	893513
146	153775	892318
147	154792	891102
148	155792	889797
149	156820	888648
150	157837	887444
151	158832	886119
152	159835	884841
153	160855	883658
154	161867	882439
155	162912	881398
156	163946	880300
157	164953	879055
158	165979	877918
159	167008	876794
160	168048	875729
161	169069	874566
162	170090	873410
163	171110	872248
164	172128	871072
165	173164	869993
166	174170	868767
167	175192	867618
168	176218	866496
169	177221	865258
170	178241	864107
171	179255	862927
172	180264	861728
173	181270	860516
174	182265	859250
175	183289	858130
176	184323	857053
177	185321	855811
178	186338	854660
179	187384	853640
180	188415	852552
181	189424	851368
182	190418	850119
183	191431	848959
184	192465	847889
185	193484	846756
186	194513	845667
187	195521	844486
188	196539	843351
189	197596	842385
190	198656	841429
191	199696	840390
192	200708	839232
193	201713	838048
194	202725	836893
195	203754	835808
196	204764	834649
197	205764	833448
198	206778	832308
199	207790	831162
200	208789	829964
201	209806	828839
202	210861	827865
203	211900	826829
204	212953	825843
205	213960	824680
206	214996	823634
207	216030	822577
208	217040	821429
209	218046	820271
210	219065	819160
211	220056	817945
212	221065	816802
213	222108	815780
214	223117	814636
215	224136	813531
216	225152	812414
217	226162	811281
218	227158	810096
219	228184	809019
220	229181	807837
221	230183	806678
222	231167	805457
223	232173	804315
224	233191	803214
225	234214	802132
226	235257	801119
227	236271	800006
228	237298	798939
229	238300	797787
230	239306	796651
231	240308	795503
232	241337	794445
233	242344	793314
234	243370	792250
235	244356	791053
236	245372	789953
237	246390	788864
238	247424	787824
239	248442	786733
240	249475	785693
241	250501	784629
242	251533	783583
243	252550	782492
244	253580	781441
245	254605	780377
246	255626	779297
247	256657	778250
248	257691	777213
249	258773	776319
250	259786	775219
251	260795	774106
252	261825	773058
253	262851	771996
254	263871	770919
255	264879	769805
256	265887	768695
257	266880	767539
258	267890	766434
259	268915	765376
260	269928	764281
261	270980	763295
262	271971	762139
263	272969	761004
264	273990	759936
265	275034	758930
266	276064	757885
267	277095	756842
268	278121	755788
269	279138	754708
270	280189	753720
271	281233	752712
272	282262	751666
273	283296	750631
274	284304	749529
275	285364	748563
276	286366	747447
277	287369	746333
278	288493	745532
279	289561	744587
280	290592	743543
281	291644	742554
282	292652	741455
283	293715	740493
284	294841	739689
285	295932	738795
286	296981	737798
287	298012	736754
288	299020	735651
289	300058	734625
290	301116	733648
291	302114	732523
292	303122	731424
293	304154	730384
294	305175	729317
295	306198	728256
296	307214	727177
297	308232	726103
298	309254	725042
299	310292	724015
300	311297	722913
301	312316	721842
302	313356	720824
303	314391	719789
304	315424	718754
305	316436	717668
306	317448	716585
307	318512	715618
308	319532	714553
309	320570	713528
310	321594	712470
311	322651	711488
312	323804	710713
313	325052	710145
314	326212	709383
315	327365	708601
316	328510	707800
317	329539	706747
318	330590	705742
319	331660	704779
320	332732	703817
321	333767	702776
322	334812	701758
323	335849	700723
324	336878	699670
325	337923	698651
326	338915	697522
327	339938	696459
328	340973	695420
329	341988	694340
330	343076	693408
331	344103	692352
332	345133	691302
333	346146	690219
334	347146	689111
335	348138	687987
336	349125	686855
337	350139	685776
338	351181	684751
339	352198	683680
340	353295	682762
341	354318	681701
342	355375	680704
343	356455	679752
344	357512	678754
345	358540	677703
346	359533	676585
347	360574	675558
348	361579	674464
349	362612	673422
350	363638	672369
351	364617	671227
352	365664	670213
353	366673	669126
354	367693	668063
355	368711	666995
356	369727	665923
357	370734	664836
358	371750	663765
359	372774	662709
360	373787	661635
361	374808	660573
362	375791	659446
363	376777	658325
364	377797	657264
365	378813	656196
366	379823	655118
367	380858	654083
368	381881	653028
369	382994	652125
370	384032	651095
371	385039	650012
372	386029	648902
373	387052	647847
374	388109	646849
375	389143	645811
376	390147	644726
377	391150	643638
378	392175	642589
379	393208	641550
380	394231	640496
381	395227	639399
382	396251	638347
383	397254	637263
384	398273	636203
385	399305	635164
386	400286	634046
387	401290	632962
388	402338	631951
389	403367	630908
390	404366	629818
391	405373	628742
392	406387	627676
393	407412	626628
394	408412	625543
395	409436	624494
396	410469	623458
397	411475	622383
398	412477	621300
399	413496	620245
400	414530	619211
401	415533	618132
402	416556	617081
403	417569	616018
404	418559	614921
405	419592	613886
406	420603	612820
407	421626	611771
408	422650	610725
409	423651	609645
410	424695	608627
411	425704	607558
412	426699	606471
413	427695	605386
414	428695	604306
415	429721	603262
416	430744	602216
417	431759	601157
418	432758	600077
419	433762	599006
420	434769	597937
421	435781	596875
422	436800	595824
423	437807	594757
424	438878	593777
425	439932	592772
426	440959	591732
427	441971	590671
428	442983	589611
429	444002	588561
430	445040	587536
431	446057	586482
432	447068	585422
433	448099	584387
434	449087	583297
435	450102	582242
436	451129	581203
437	452146	580151
438	453160	579095
439	454174	578039
440	455199	576999
441	456203	575931
442	457231	574893
443	458263	573860
444	459268	572795
445	460271	571727
446	461302	570693
447	462330	569657
448	463350	568609
449	464372	567566
450	465395	566523
451	466403	565462
452	467418	564410
453	468423	563346
454	469442	562299
455	470481	561276
456	471490	560217
457	472486	559143
458	473511	558103
459	474521	557046
460	475557	556020
461	476602	555004
462	477626	553963
463	478640	552912
464	479636	551839
465	480652	550790
466	481669	549742
467	482669	548675
468	483664	547603
469	484690	546566
470	485682	545490
471	486697	544441
472	487720	543400
473	488749	542367
474	489766	541321
475	490764	540253
476	491806	539234
477	492824	538188
478	493858	537161
479	494875	536114
480	495873	535048
481	496911	534024
482	497915	532965
483	498911	531897
484	499897	530818
485	500898	529756
486	501894	528690
487	502904	527637
488	503924	526595
489	504943	525553
490	505968	524517
491	506987	523474
492	507998	522423
493	509043	521408
494	510057	520361
495	511109	519353
496	512118	518300
497	513142	517263
498	514174	516235
499	515196	515196
500	516216	514155
501	517213	513091
502	518234	512052
503	519266	511024
504	520272	509970
505	521264	508902
506	522291	507869
507	523316	506833
508	524342	505800
509	525362	504760
510	526342	503681
511	527346	502626
512	528350	501572
513	529361	500524
514	530362	499467
515	531376	498423
516	532398	497386
517	533422	496350
518	534408	495280
519	535418	494232
520	536414	493171
521	537430	492129
522	538442	491084
523	539436	490022
524	540456	488984
525	541469	487940
526	542459	486875
527	543510	485865
528	544518	484816
529	545521	483764
530	546538	482724
531	547551	481681
532	548568	480640
533	549555	479574
534	550550	478515
535	551595	477500
536	552620	476468
537	553639	475429
538	554639	474376
539	555641	473324
540	556663	472289
541	557672	471243
542	558729	470238
543	559763	469213
544	560802	468193
545	561845	467175
546	562857	466132
547	563880	465098
548	564872	464039
549	565907	463015
550	566932	461983
551	567931	460929
552	568975	459913
553	569997	458878
554	571013	457839
555	571994	456772
556	572994	455721
557	574006	454679
558	575025	453642
559	576041	452603
560	577046	451557
561	578076	450528
562	579096	449494
563	580113	448456
564	581119	447410
565	582116	446358
566	583143	445328
567	584178	444304
568	585185	443260
569	586222	442238
570	587116	441108
571	588111	440055
572	589131	439021
573	590142	437980
574	591170	436952
575	592179	435909
576	593177	434859
577	594189	433819
578	595229	432800
579	596231	431754
580	597238	430710
581	598247	429669
582	599252	428625
583	600290	427604
584	601314	426573
585	602341	425545
586	603382	424526
587	604374	423473
588	605404	422446
589	606412	421405
590	607417	420362
591	608432	419325
592	609433	418278
593	610443	417239
594	611480	416217
595	612472	415165
596	613512	414146
597	614511	413099
598	615514	412055
599	616516	411010
600	617535	409977
601	618529	408928
602	619535	407886
603	620554	406853
604	621531	405793
605	622534	404749
606	623541	403709
607	624551	402671
608	625596	401655
609	626617	400624
610	627621	399582
611	628646	398553
612	629645	397508
613	630656	396471
614	631675	395438
615	632718	394421
616	633753	393399
617	634751	392354
618	635777	391326
619	636784	390287
620	637808	389258
621	638841	388234
622	639835	387187
623	640868	386164
624	641870	385122
625	642890	384090
626	643920	383065
627	644932	382029
628	645935	380989
629	646943	379951
630	647951	378913
631	648977	377885
632	649990	376850
633	650999	375813
634	652012	374778
635	653021	373741
636	654029	372704
637	655055	371677
638	656035	370624
639	657053	369592
640	658076	368563
641	659050	367508
642	660066	366475
643	661070	365436
644	662088	364405
645	663077	363358
646	664078	362317
647	665088	361282
648	666103	360250
649	667135	359226
650	668168	358204
651	669197	357178
652	670218	356150
653	671241	355121
654	672252	354087
655	673261	353051
656	674260	352010
657	675281	350982
658	676275	349939
659	677279	348901
660	678319	347882
661	679369	346868
662	680384	345836
663	681381	344795
664	682380	343755
665	683412	342732
666	684491	341732
667	685524	340709
668	686548	339682
669	687565	338651
670	688578	337619
671	689608	336594
672	690612	335557
673	691618	334521
674	692633	333490
675	693652	332460
676	694674	331432
677	695661	330387
678	696695	329365
679	697693	328326
680	698714	327298
681	699716	326260
682	700917	325316
683	702000	324315
684	703119	323332
685	704526	322480
686	705766	321550
687	706988	320610
688	708177	319656
689	709372	318703
690	710501	317720
691	711706	316771
692	712809	315775
693	713976	314807
694	715027	313789
695	716179	312813
696	717401	311868
697	718594	310910
698	719816	309964
699	721051	309022
700	722190	308038
701	723199	306999
702	724255	305979
703	725332	304969
704	726332	303926
705	727373	302900
706	728383	301861
707	729392	300822
708	730405	299785
709	731416	298747
710	732445	297716
711	733466	296682
712	734512	295659
713	735513	294617
714	736541	293586
715	737551	292548
716	738572	291514
717	739600	290483
718	740620	289449
719	741645	288417
720	742665	287383
721	743648	286335
722	744675	285304
723	745692	284269
724	746705	283233
725	747717	282196
726	748747	281166
727	749763	280131
728	750780	279096
729	751796	278061
730	752806	277024
731	753795	275979
732	754828	274951
733	755854	273920
734	756845	272876
735	757857	271840
736	758852	270798
737	759873	269765
738	760884	268729
739	761892	267692
740	762908	266657
741	763931	265625
742	764973	264600
743	766006	263572
744	767027	262539
745	768047	261506
746	769080	260478
747	770081	259439
748	771095	258404
749	772117	257372
750	773110	256331
751	774149	255304
752	775159	254268
753	776178	253235
754	777183	252198
755	778194	251163
756	779249	250142
757	780266	249108
758	781301	248081
759	782328	247051
760	783349	246019
761	784342	244978
762	785344	243940
763	786376	242912
764	787387	241877
765	788442	240855
766	789472	239826
767	790491	238794
768	791495	237757
769	792507	236722
770	793500	235683
771	794516	234649
772	795535	233617
773	796577	232592
774	797598	231560
775	798648	230537
776	799678	229508
777	800728	228485
778	801753	227455
779	802759	226419
780	803763	225383
781	804780	224350
782	805806	223320
783	806833	222290
784	807836	221254
785	808839	220218
786	809858	219186
787	810903	218161
788	811914	217128
789	812901	216087
790	813920	215055
791	814927	214021
792	815935	212986
793	816931	211949
794	817951	210918
795	818971	209887
796	820014	208861
797	821048	207834
798	822072	206804
799	823120	205780
800	824147	204750
801	825161	203718
802	826183	202687
803	827217	201659
804	828263	200635
805	829318	199612
806	830322	198577
807	831318	197540
808	832358	196514
809	833370	195481
810	834400	194453
811	835430	193424
812	836443	192392
813	837464	191361
814	838504	190335
815	839520	189303
816	840522	188268
817	841521	187233
818	842542	186202
819	843556	185171
820	844584	184142
821	845599	183110
822	846645	182085
823	847679	181057
824	848694	180026
825	849702	178993
826	850706	177959
827	851728	176929
828	852727	175894
829	853761	174866
830	854766	173833
831	855790	172803
832	856784	171768
833	857822	170741
834	858838	169710
835	859862	168681
836	860880	167650
837	861900	166620
838	862917	165589
839	863938	164559
840	864956	163529
841	865964	162496
842	866988	161467
843	868002	160436
844	869027	159407
845	870032	158374
846	871048	157344
847	872057	156312
848	873059	155279
849	874071	154247
850	875092	153218
851	876105	152187
852	877118	151156
853	878097	150119
854	879128	149091
855	880126	148058
856	881171	147033
857	882165	145999
858	883188	144970
859	884217	143942
860	885233	142912
861	886279	141886
862	887309	140859
863	888346	139832
864	889350	138800
865	890369	137770
866	891380	136740
867	892390	135709
868	893410	134679
869	894438	133651
870	895477	132625
871	896490	131594
872	897497	130563
873	898498	129531
874	899506	128500
875	900524	127471
876	901545	126442
877	902569	125414
878	903569	124382
879	904633	123359
880	905677	122333
881	906707	121305
882	907707	120273
883	908699	119241
884	909719	118212
885	910760	117185
886	911762	116154
887	912776	115124
888	913807	114097
889	914808	113066
890	915850	112040
891	916859	111009
892	917855	109978
893	918918	108954
894	919967	107929
895	921000	106901
896	922011	105871
897	923019	104841
898	924034	103812
899	925019	102779
900	926050	101752
901	927044	100720
902	928064	99692
903	929097	98665
904	930110	97635
905	931124	96606
906	932159	95579
907	933190	94552
908	934204	93523
909	935221	92494
910	936248	91466
911	937240	90435
912	938249	89406
913	939245	88375
914	940270	87347
915	941286	86318
916	942302	85290
917	943322	84261
918	944354	83234
919	945393	82208
920	946442	81182
921	947452	80153
922	948447	79122
923	949459	78094
924	950476	77065
925	951525	76039
926	952542	75011
927	953559	73983
928	954585	72955
929	955639	71929
930	956672	70902
931	957713	69876
932	958751	68849
933	959787	67822
934	960825	66795
935	961932	65773
936	963011	64748
937	964090	63724
938	965111	62696
939	966111	61666
940	967126	60638
941	968219	59614
942	969298	58589
943	970351	57563
944	971449	56539
945	972568	55516
946	973673	54492
947	974777	53468
948	975783	52439
949	976822	51411
950	977806	50381
951	978999	49361
952	980301	48346
953	981417	47322
954	982666	46303
955	983789	45279
956	984908	44254
957	986103	43232
958	987228	42206
959	988306	41179
960	989385	40151
961	990388	39121
962	991491	38094
963	992501	37064
964	993599	36037
965	994685	35009
966	995692	33979
967	996779	32951
968	997860	31923
969	998866	30892
970	999887	29862
971	1000880	28831
972	1002136	27808
973	1003156	26778
974	1004216	25749
975	1005390	24722
976	1006470	23693
977	1007488	22663
978	1008558	21634
979	1009651	20605
980	1010685	19574
981	1011707	18544
982	1012746	17514
983	1013799	16484
984	1014842	15454
985	1015848	14423
986	1016863	13393
987	1017894	12363
988	1018925	11332
989	1019972	10302
990	1021022	9272
991	1022055	8242
992	1023073	7212
993	1024082	6181
994	1025120	5151
995	1026166	4121
996	1027221	3090
997	1028255	2060
998	1029282	1030
999	1030333	0
