item_name,item_id,item_category_id
! IN THE POWER OF GLAMOR (PLAST.) D,0,40
!ABBYY FineReader 12 Professional Edition Full [PC Digital],1,76
*** IN THE RAYS OF GLORY (UNV) D,2,40
***BLUE WAVE (Univ) D,3,40
***BOX (GLASS) D,4,40
***NEW AMERICAN GRAFFITI (UNI) D,5,40
***GOAL SHOT (UNI) D,6,40
***GOAL SHOT-2 (UNI) D,7,40
***TEA WITH MUSSOLINI D,8,40
***SUGARLAND EXPRESS (UNI) D,9,40
*BEYOND DEATH D,10,40
*DEATH LINE D,11,40
*MIHAY AND JUMANJI Bitch love,12,55
*SAVING EMILY D,13,40
*Crazy Professor /MAGIC/ D,14,40
//ADRENALINE: ONE AGAINST ALL (Region),15,40
//MONGOL S.Bodrov (Region),16,40
// LEAVING NO Trace (Region),17,40
/BOMB FOR THE BRIDE /2DVD/ D,18,40
/GOLD COLLECTION m/f-72,19,40
/Once Upon a Time in China-2,20,40
/LAST CHANCE,21,40
/CURSE EL CHARRO,22,40
/NORTH AND SOUTH /P.2/,23,40
/ DEATH SCREENING,24,40
/YOU'RE DEAD,25,40
/ MULTIPLICING SORRY v.2 (ser.3-4),26,40
007 Legends [PS3 Russian version],27,19
"007 Legends [PC, Jewel, Russian version]",28,30
007 Legends [Xbox 360 Russian Version],29,23
007: SKYFALL COORDINATES,30,40
007: SKYFALL COORDINATES (BD),31,37
1+1,32,40
1+1 (BD),33,37
"10,000 BC WB (region)",34,40
10 YEARS LATER,35,40
10 YEARS LATER (BD),36,37
10 YEARS LATER (region),37,40
10 MOST POPULAR COMEDIES OF THE 20TH CENTURY 10DVD (rem),38,41
10 MOST POPULAR DOMESTIC COMEDIES OF THE XX CENTURY (BD),39,41
100 Best classical melodies (mp3-CD) (Digipack),40,57
100 Best relax melodies (mp3-CD) (CD-Digipack),41,57
100 Best romantic melodies (mp3-CD) (Digipack),42,57
EUR 100 MILLION,43,40
Top 100 Stress Relief Melodies (mp3-CD) (CD-Digipack),44,57
Top 100 Folk Songs (mp3-CD) (CD-Digipack),45,57
Bach's 100 Best Pieces (mp3-CD) (Digipack),46,57
Beethoven's 100 Best Pieces (mp3-CD) (Digipack),47,57
100 best works of Vivaldi (mp3-CD) (CD-Digipack),48,57
Top 100 Mozart (mp3-CD) (Digipack),49,57
100 Best Pieces of Rachmaninoff (mp3-CD) (Jewel),50,57
Top 100 Classics (mp3-CD) (Digipack),51,57
Top 100 Piano Music Pieces (mp3-CD) (CD-Digipack),52,57
100 Best Russian Romances (mp3-CD) (CD-Digipack),53,57
Top 100 Gypsy Romances (mp3-CD) (CD-Digipack),54,57
100 Favorite Little Tales (mp3-CD) (Jewel),55,43
100 favorite songs. Alexandra Pakhmutova (gift. pack) (mp3-CD) (Jewel),56,57
100 poods from cartoons (gift pack) (mp3-CD) (Jewel),57,57
100 Wonders of Russia [PC Digital],58,78
100 Classical Masterpieces (mp3-CD) (Digipack),59,57
1000 English phrases for all occasions (mp3-CD) (Jewel),60,43
1000 and One Nights 2CD (mp3-DVD) (DVD-Book),61,43
10000 BC WB (BD),62,37
101 Dalmatians wd,63,40
101 DALMATIAN 2 m / f (region),64,40
101 Dalmatians 2: PATCH'S LONDON ADVENTURES (BD),65,37
101 DALMATIAN M/F (BD),66,37
101 DALMATIAN m / f (region),67,40
"101 Dalmatians. Interactive fairy tale [PC-CD, Jewel]",68,30
101 tips for novice developers in the 1C:Enterprise 8 system [Digital version],69,54
101 tips for novice developers in the 1C:Enterprise 8 system. Khrustaleva E.Yu.,70,49
11 OCEAN'S FRIENDS WB (BD),71,37
11 FRIENDS OF OCEAN WB (Region),72,40
11-11-11 (region),73,40
Ocean's 12 WB (BD),74,37
Ocean's 12 WB (Region),75,40
12 YEARS A SLAVAGE (BD),76,37
12 YEARS OF SERVICE (region),77,40
12 MONTHS,78,40
12 MONTHS. NEW TALE,79,40
12 ROUNDS (BD),80,37
12 CHRISTMAS WISHES,81,40
12/TWELVE (BD),82,37
12/TWELVE (SR) (Region),83,40
127 HOURS,84,40
127 HOURS (BD+DVD),85,37
127 HOURS (Region),86,40
13 OCEAN'S FRIENDS WB (BD),87,37
13 FRIENDS OF OCEAN WB (Region),88,40
13th WARRIOR wd,89,40
DISTRICT 13: Brick Mansions,90,40
DISTRICT 13: Brick Mansions (BD),91,37
DISTRICT 13: ULTIMATUM (BD),92,37
15 famous fairy tales for children from 0 to 3 years old (mp3-CD) (Jewel),93,43
16 WISHES,94,40
1812. ENCYCLOPEDIA OF THE GREAT WAR,95,40
1812. ENCYCLOPEDIA OF WAR (region),96,40
1812: 4 SERIES (region),97,40
1812: ULAN BALLAD,98,40
1812: ULAN BALLAD (BD),99,37
1812: ULAN BALLAD (region),100,40
"1C: School. Physics, 9th grade [PC, Digital]",101,78
"1C-Bitrix: Site Management - Small Business [PC, Digital version]",102,76
"1C-Bitrix: Site Management - Standard [PC, Digital version]",103,76
"1C-Bitrix: Site Management - Start (Bitrix) [PC, Digital version]",104,76
"1С:Snowball ORIGINALS ""Europa Universalis III. In Nomine""",105,30
"1С:Snowball TOYS ""Victory Day II. New war""",106,30
1C: Audio. In harmony with nature. Music for Relaxed Driving [Digital Version],107,44
1C: Audio. In harmony with nature. Resting in the Forest [Digital Version],108,44
1C: Audio. Music to restore the balance of soul and body (Jewel),109,57
1C: Audio. Music to restore the balance of soul and body [Digital version],110,44
1C: Audio. Music for healing the body (Jewel),111,57
1C: Audio. Music for relaxation and massage [Digital version],112,44
1C: Audio. Stress Relief Music (Jewel),113,57
1C: Audio. Stress Relief Music [Digital Version],114,44
1C: Audio. Nature Music (Jewel),115,57
1C: Audio. Passion Music: Tone Up (Jewel),116,57
1C: Audio. Passion Music: Tone Up [Digital],117,44
"1C: Audiobooks ""Alyonushka's Tales"" [Digital version]",118,44
"1C: Audiobooks ""Baba Yaga - Golden Leg"" [Digital version]",119,44
"1C: Audiobooks ""Lady with a Dog"" [Digital version]",120,44
"1C: Audiobooks ""Cadet Monastery"" [Digital version]",121,44
"1C: Audiobooks ""Love"" [Digital version]",122,44
"1C: Audiobooks ""Sevastopol stories"" [Digital version]",123,44
"1C:Audiobooks ""Gray Neck"" [Digital version]",124,44
"1C: Audiobooks ""Tales of the peoples of the world"" [Digital version]",125,44
"1C: Audiobooks ""Tales. Issue 1"" [Digital version]",126,44
"1C: Audiobooks ""Tales. Issue 2"" [Digital version]",127,44
"1C: Audiobooks ""Tales. Issue 3"" [Digital version]",128,44
"1C: Audiobooks ""Tales. Issue 4"" [Digital version]",129,44
"1C: Audiobooks ""Tales. Issue 5"" [Digital version]",130,44
"1C: Audiobooks ""Tales. Issue 6"" [Digital version]",131,44
"1C: Audiobooks. ""Mystical stories of Russian writers"", A. S. Pushkin, F. M. Dostoevsky [Digital",132,44
1C: Audiobooks. 25 famous fairy tales,133,45
1C: Audiobooks. Around the World in 80 days (by Jules Verne) (Jewel),134,45
